,PLAYER_GATE_ID,WEEK_N,SALE_SUM,WIN_SUM,WIN_CNT,TICKET_CNT,BINGO_SALES,MOMENT_SALES,QUICK_SALES,NUMBER_SALES,AR_SALES,FS_SALES,SITE_SALES,MOBSITE_SALES,MOBAPP_SALES
4804,6147025629900,4.0,300.0,200.0,2,3,300,0,0,0,300,0,0,0,0
4805,5333107345900,4.0,200.0,200.0,2,2,200,0,0,0,200,0,0,0,0
4806,4787999159500,4.0,200.0,,0,2,200,0,0,0,200,0,0,0,0
4807,7224821374000,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4808,8750204197100,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4809,5041024287700,4.0,400.0,328.0,4,5,400,0,0,0,400,0,0,0,0
4810,4386592081400,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4811,6104542599300,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4812,5466554979300,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4813,2149579138800,4.0,300.0,100.0,1,3,300,0,0,0,0,300,0,0,0
4814,4802356524700,4.0,100.0,122.0,1,1,100,0,0,0,0,100,0,0,0
4815,5265041767100,4.0,300.0,200.0,2,3,300,0,0,0,0,300,0,0,0
4816,2318911683200,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4817,6095719863000,4.0,1000.0,400.0,4,10,1000,0,0,0,0,1000,0,0,0
4818,9634353102500,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4819,4860157731900,4.0,400.0,239.0,1,2,0,0,0,400,0,400,0,0,0
4820,7397077998000,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4821,5009541092800,4.0,100.0,,0,1,100,0,0,0,0,100,0,0,0
4822,5223838909100,4.0,400.0,100.0,1,4,400,0,0,0,0,400,0,0,0
4823,7301465370900,4.0,200.0,214.0,2,2,200,0,0,0,0,200,0,0,0
4824,2022575250600,4.0,400.0,125.0,1,5,400,0,0,0,400,0,0,0,0
4825,1894580500,4.0,200.0,200.0,2,2,200,0,0,0,200,0,0,0,0
4826,4931167498900,4.0,300.0,,0,2,0,0,300,0,300,0,0,0,0
4827,1488167637700,4.0,100.0,,0,1,0,0,0,100,100,0,0,0,0
4828,3573720146200,4.0,1000.0,600.0,3,5,0,0,0,1000,1000,0,0,0,0
4829,3614389469100,4.0,300.0,,0,3,300,0,0,0,0,300,0,0,0
4830,5239750543100,4.0,300.0,100.0,1,3,300,0,0,0,300,0,0,0,0
4831,4783290292000,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4832,6098020087900,4.0,300.0,,0,3,300,0,0,0,0,300,0,0,0
4833,6338478597900,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4834,9315983921000,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4835,3834079692300,4.0,200.0,,0,2,200,0,0,0,0,200,0,0,0
4836,5225657530900,4.0,200.0,,0,3,100,0,0,100,0,200,0,0,0
4837,1351939168000,4.0,200.0,125.0,4,8,0,0,0,200,200,0,0,0,0
4838,9509701899700,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4839,4945141157900,4.0,350.0,,0,4,350,0,0,0,0,350,0,0,0
4840,6148007468100,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4841,4888251418200,4.0,1550.0,308.0,3,13,800,0,750,0,0,1550,0,0,0
4842,4975949738400,4.0,900.0,,0,5,100,0,0,800,400,500,0,0,0
4843,784756605000,4.0,200.0,200.0,2,2,200,0,0,0,0,200,0,0,0
4844,4884676766200,4.0,3000.0,492.0,2,11,0,0,0,3000,1000,2000,0,0,0
4845,6110560460000,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4846,4897723737000,4.0,100.0,100.0,1,1,100,0,0,0,0,100,0,0,0
4847,5518719162300,4.0,200.0,,0,2,200,0,0,0,200,0,0,0,0
4848,6449768167300,4.0,300.0,100.0,1,3,300,0,0,0,300,0,0,0,0
4849,4019719647100,4.0,200.0,500.0,1,2,200,0,0,0,200,0,0,0,0
4850,5338820537200,4.0,275.0,100.0,1,3,275,0,0,0,0,275,0,0,0
4851,9725025611900,4.0,1000.0,266.0,1,3,0,0,600,400,1000,0,0,0,0
4852,4835329330200,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4853,7198906006400,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4854,1722888883000,4.0,400.0,,0,2,0,0,0,400,400,0,0,0,0
4855,5569586684800,4.0,100.0,,0,1,100,0,0,0,0,100,0,0,0
4856,5199905056000,4.0,300.0,100.0,1,3,300,0,0,0,0,300,0,0,0
4857,9491827379100,4.0,350.0,150.0,1,4,350,0,0,0,0,350,0,0,0
4858,6895541046200,4.0,300.0,,0,3,300,0,0,0,0,300,0,0,0
4859,6419511207800,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4860,5348434071300,4.0,350.0,310.0,2,4,350,0,0,0,350,0,0,0,0
4861,4901337279200,4.0,700.0,400.0,4,7,700,0,0,0,700,0,0,0,0
4862,6143328210900,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4863,5297184200600,4.0,275.0,150.0,1,3,275,0,0,0,0,275,0,0,0
4864,9249526341200,4.0,500.0,300.0,3,5,500,0,0,0,500,0,0,0,0
4865,4787821969200,4.0,100.0,,0,1,100,0,0,0,0,100,0,0,0
4866,4371708009800,4.0,400.0,300.0,3,4,400,0,0,0,0,400,0,0,0
4867,9702751377200,4.0,275.0,150.0,1,3,275,0,0,0,0,275,0,0,0
4868,6130945179400,4.0,400.0,100.0,1,4,400,0,0,0,0,400,0,0,0
4869,9785716085700,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4870,5303711315400,4.0,200.0,200.0,2,2,200,0,0,0,200,0,0,0,0
4871,7275653037800,4.0,450.0,160.0,1,5,450,0,0,0,0,450,0,0,0
4872,4781650997400,4.0,200.0,200.0,2,2,200,0,0,0,200,0,0,0,0
4873,4943070717500,4.0,200.0,200.0,1,1,0,0,0,200,0,200,0,0,0
4874,2523085033000,4.0,500.0,200.0,2,5,500,0,0,0,500,0,0,0,0
4875,6101746828600,4.0,400.0,,0,2,0,0,0,400,0,400,0,0,0
4876,7671708963200,4.0,400.0,214.0,2,3,200,0,0,200,0,400,0,0,0
4877,2037171784300,4.0,900.0,344.0,2,4,300,0,0,600,900,0,0,0,0
4878,6212319511700,4.0,200.0,100.0,1,2,200,0,0,0,100,100,0,0,0
4879,5512999080600,4.0,400.0,100.0,1,4,400,0,0,0,0,400,0,0,0
4880,958999352000,4.0,100.0,100.0,1,1,100,0,0,0,100,0,0,0,0
4881,9699388793000,4.0,825.0,400.0,4,9,825,0,0,0,0,825,0,0,0
4882,8706505785400,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4883,6108436628400,4.0,400.0,200.0,2,4,400,0,0,0,0,400,0,0,0
4884,3211847385200,4.0,1350.0,5700.0,5,9,0,0,1350,0,0,1350,0,0,0
4885,4988707135400,4.0,2745.0,884.0,9,36,400,0,0,2345,2745,0,0,0,0
4886,4985868967900,4.0,300.0,200.0,2,3,300,0,0,0,0,300,0,0,0
4887,4736165618200,4.0,300.0,200.0,2,3,300,0,0,0,0,300,0,0,0
4888,5428078199700,4.0,400.0,200.0,2,4,400,0,0,0,0,400,0,0,0
4889,4529074439100,4.0,175.0,100.0,1,2,175,0,0,0,0,175,0,0,0
4890,4163999291900,4.0,300.0,208.0,2,3,300,0,0,0,0,300,0,0,0
4891,5022275160500,4.0,200.0,,0,2,200,0,0,0,0,200,0,0,0
4892,5425716609400,4.0,150.0,100.0,1,2,150,0,0,0,0,150,0,0,0
4893,5411237282700,4.0,200.0,222.0,2,2,200,0,0,0,0,200,0,0,0
4894,5778732309200,4.0,200.0,100.0,1,2,200,0,0,0,200,0,0,0,0
4895,5349665529100,4.0,200.0,100.0,1,2,200,0,0,0,0,200,0,0,0
4896,6148743682100,4.0,400.0,315.0,3,4,400,0,0,0,0,400,0,0,0
4897,7396803350600,4.0,100.0,,0,1,100,0,0,0,0,100,0,0,0
